,Name,Score,Original Price,Discount,Discounted Price,Platform,Win,Linux,Mac,Release Date
11,Phasmophobia,10,"11,59€",-10%,"10,43€                    ",1,0,0,"18 Sep, 2020"
12,Noita,10,"18,99€",-25%,"14,24€                    ",1,0,0,"15 Oct, 2020"
13,Team Fortress 2,9,Free to Play,,Free to Play,1,1,1,"10 Oct, 2007"
14,theHunter: Call of the Wild™- Complete Collection,9,"115,81€",-62%,"43,86€                    ",1,0,0,
15,DOOM Eternal,9,"59,99€",-67%,"19,79€                    ",1,0,0,"19 Mar, 2020"
16,Untitled Goose Game,9,"16,79€",-25%,"12,59€                    ",1,0,1,"23 Sep, 2020"
17,PLAYERUNKNOWN'S BATTLEGROUNDS,6,"29,99€",-50%,"14,99€                    ",1,0,0,"21 Dec, 2017"
18,Red Dead Redemption 2,7,"59,99€",-33%,"40,19€                    ",1,0,0,"5 Dec, 2019"
19,Tom Clancy's Rainbow Six® Siege,9,"19,99€",-60%,"7,99€                    ",1,0,0,"1 Dec, 2015"
20,Sea of Thieves,9,"39,99€",-25%,"29,99€                    ",1,0,0,"3 Jun, 2020"
21,Hades,10,"20,99€",-20%,"16,79€                    ",1,0,1,"17 Sep, 2020"
